<DATE>;<CLOSE>
20119;25.2700000
30119;25.1900000
40119;26.5200000
70119;26.7200000
80119;27.4400000
90119;27.9700000
100119;27.8100000
110119;27.6500000
140119;27.4800000
150119;27.5300000
160119;28.2200000
170119;28.6500000
180119;29.2000000
220119;28.8600000
230119;28.9250000
240119;29.0700000
250119;29.9700000
280119;30.1800000
290119;30.3900000
300119;31.5800000
310119;31.6400000
10219;32.3200000
40219;32.5300000
50219;32.5500000
60219;31.2300000
70219;31.0800000
80219;31.2700000
110219;31.2300000
120219;32.1600000
130219;32.4200000
140219;32.3100000
150219;32.3300000
190219;33.6600000
200219;33.9000000
210219;33.6500000
220219;33.1900000
250219;34.3900000
260219;33.4800000
270219;33.2800000
280219;32.8500000
10319;33.0000000
40319;32.8400000
50319;32.7000000
60319;32.4800000
70319;31.9700000
80319;31.6200000
110319;31.9700000
120319;31.0300000
130319;31.2000000
140319;30.4600000
150319;30.1400000
180319;30.4200000
190319;30.0700000
200319;29.9800000
210319;30.1800000
220319;28.4000000
250319;28.4800000
260319;28.6500000
270319;28.2900000
280319;28.5000000
290319;28.5800000
10419;29.4600000
20419;29.0200000
30419;29.4800000
40419;30.4500000
50419;30.5100000
80419;30.0900000
90419;29.8300000
100419;30.3900000
110419;30.2300000
120419;30.5300000
150419;30.4300000
160419;30.7700000
170419;30.5100000
180419;30.2900000
220419;30.0200000
230419;30.5250000
240419;30.4100000
250419;29.6700000
260419;30.2100000
290419;30.5000000
300419;30.2600000
10519;29.4800000
20519;29.9900000
30519;33.3700000
60519;32.4300000
70519;31.2700000
80519;30.4700000
90519;29.4400000
100519;29.1300000
130519;27.6300000
140519;27.1300000
150519;27.5600000
160519;27.8400000
170519;27.2200000
200519;26.8600000
210519;27.9200000
220519;27.4500000
230519;26.4200000
240519;26.4000000
280519;26.0600000
290519;25.8300000
300519;25.1900000
310519;24.3800000
