<DATE>;<CLOSE>
20119;157.8800000
30119;142.0850000
40119;148.2700000
70119;147.8300000
80119;150.8000000
90119;153.3400000
100119;153.7800000
110119;152.1600000
140119;149.9800000
150119;153.1000000
160119;154.9000000
170119;155.8600000
180119;156.8200000
220119;153.7000000
230119;153.9000000
240119;152.6900000
250119;157.6900000
280119;156.3200000
290119;154.6600000
300119;165.2400000
310119;166.2800000
10219;166.5700000
40219;171.2400000
50219;174.1100000
60219;174.2800000
70219;171.0100000
80219;170.5100000
110219;169.4700000
120219;170.8800000
130219;170.1700000
140219;170.7900000
150219;170.3500000
190219;170.9200000
200219;172.0700000
210219;171.1300000
220219;172.9700000
250219;174.2400000
260219;174.3300000
270219;174.8700000
280219;173.2800000
10319;174.8900000
40319;175.8500000
50319;175.5200000
60319;174.5100000
70319;172.4700000
80319;172.9300000
110319;179.0000000
120319;180.9800000
130319;181.7000000
140319;183.7400000
150319;186.0900000
180319;188.0500000
190319;186.5700000
200319;188.1500000
210319;195.0100000
220319;191.0500000
250319;188.7600000
260319;186.7800000
270319;188.4800000
280319;188.7000000
290319;189.9400000
10419;191.2100000
20419;194.0400000
30419;195.3600000
40419;195.7200000
50419;197.0600000
80419;200.0800000
90419;199.6000000
100419;200.6500000
110419;198.9400000
120419;198.8900000
150419;199.2300000
160419;199.2500000
170419;203.1600000
180419;203.8500000
220419;204.6300000
230419;207.5000000
240419;207.0900000
250419;205.2200000
260419;204.2900000
290419;204.5900000
300419;200.5700000
10519;210.5700000
20519;209.1800000
30519;211.7200000
60519;208.5200000
70519;202.8900000
80519;202.9000000
90519;200.6800000
100519;197.3000000
130519;185.7100000
140519;188.6200000
150519;190.9500000
160519;190.1500000
170519;188.9600000
200519;183.0900000
210519;186.6000000
220519;182.7700000
230519;179.6700000
240519;179.0600000
280519;178.1700000
290519;177.4700000
300519;178.2600000
310519;175.0100000
