<DATE>;<CLOSE>
20119;101.1000000
30119;97.3600000
40119;101.9100000
70119;102.0600000
80119;102.8200000
90119;104.3100000
100119;103.5800000
110119;102.7400000
140119;102.0200000
150119;104.9700000
160119;105.3800000
170119;106.1800000
180119;107.6900000
220119;105.8600000
230119;106.7800000
240119;106.1700000
250119;107.1700000
280119;105.0900000
290119;102.9300000
300119;106.3400000
310119;104.4700000
10219;102.8100000
40219;105.7900000
50219;107.2200000
60219;106.1100000
70219;105.3300000
80219;105.7400000
110219;105.2800000
120219;106.8800000
130219;106.7800000
140219;106.8700000
150219;108.2000000
190219;108.2400000
200219;107.1700000
210219;109.4400000
220219;110.9700000
250219;111.5900000
260219;112.3700000
270219;112.1900000
280219;112.0900000
10319;112.5100000
40319;112.2900000
50319;111.6800000
60319;111.7500000
70319;110.3400000
80319;110.5200000
110319;112.8200000
120319;113.6500000
130319;114.5000000
140319;114.5800000
150319;115.8100000
180319;117.6000000
190319;117.7300000
200319;117.5200000
210319;120.6500000
220319;117.0900000
250319;117.6400000
260319;117.9300000
270319;116.7600000
280319;116.9300000
290319;117.9400000
10419;119.0000000
20419;119.2100000
30419;119.9900000
40419;119.3300000
50419;119.9000000
80419;119.8900000
90419;119.3000000
100419;120.2400000
110419;120.3200000
120419;120.9600000
150419;121.0500000
160419;120.7900000
170419;121.7500000
180419;123.3500000
220419;123.7600000
230419;125.4400000
240419;125.0900000
250419;129.0900000
260419;129.8700000
290419;129.7300000
300419;130.5800000
10519;127.8400000
20519;126.2000000
30519;128.8900000
60519;128.1600000
70519;125.5400000
80519;125.4500000
90519;125.5100000
100519;127.2500000
130519;123.3000000
140519;124.7300000
150519;126.0500000
160519;128.9600000
170519;128.0600000
200519;126.1900000
210519;126.9000000
220519;127.6700000
230519;126.1900000
240519;126.2300000
280519;126.0700000
290519;124.9800000
300519;125.7200000
310519;123.5900000
