<DATE>;<CLOSE>
20119;36.5200000
30119;34.3850000
40119;34.9500000
70119;35.3750000
80119;34.9550000
90119;35.6200000
100119;36.4750000
110119;36.5300000
140119;35.7300000
150119;36.0250000
160119;35.6600000
170119;36.2050000
180119;36.8700000
220119;36.3000000
230119;36.4800000
240119;37.6100000
250119;38.1100000
280119;37.4500000
290119;36.3300000
300119;37.4000000
310119;37.6300000
10219;37.5700000
40219;37.9500000
50219;38.2400000
60219;38.7400000
70219;38.1150000
80219;37.8100000
110219;38.2900000
120219;38.6400000
130219;38.1450000
140219;38.0650000
150219;38.1000000
190219;38.4900000
200219;38.9950000
210219;39.0200000
220219;39.3900000
250219;39.5850000
260219;39.6050000
270219;39.4550000
280219;39.0950000
10319;39.3500000
40319;39.1450000
50319;39.0600000
60319;38.9200000
70319;38.6400000
80319;38.2050000
110319;38.6300000
120319;38.9050000
130319;39.2100000
140319;38.8250000
150319;39.6600000
180319;39.8500000
190319;39.7600000
200319;39.8550000
210319;41.0400000
220319;40.4200000
250319;39.9300000
260319;40.4100000
270319;40.2000000
280319;40.3300000
290319;40.9600000
10419;41.3600000
20419;41.2700000
30419;41.7900000
40419;42.0450000
50419;42.2200000
80419;42.3950000
90419;42.2100000
100419;42.3800000
110419;42.1000000
120419;42.5800000
150419;42.6100000
160419;43.0000000
170419;44.2550000
180419;45.2700000
220419;44.9900000
230419;45.3800000
240419;45.3500000
250419;44.6200000
260419;43.8400000
290419;43.7700000
300419;43.8300000
10519;44.5500000
20519;44.0000000
30519;44.7000000
60519;43.5500000
70519;43.5000000
80519;43.8600000
90519;42.5500000
100519;42.3200000
130519;40.9650000
140519;42.0200000
150519;42.2400000
160519;41.4800000
170519;40.6900000
200519;38.8200000
210519;39.1000000
220519;39.2300000
230519;37.6900000
240519;38.5500000
280519;37.9600000
290519;37.2900000
300519;38.2500000
310519;38.7600000
