<DATE>;<CLOSE>
20119;65.6450000
30119;63.3700000
40119;65.5400000
70119;67.0600000
80119;67.8400000
90119;69.2200000
100119;69.9200000
110119;70.3800000
140119;69.7700000
150119;70.5600000
160119;70.0150000
170119;70.7600000
180119;71.7900000
220119;71.0200000
230119;71.6700000
240119;72.1800000
250119;73.7000000
280119;73.2700000
290119;73.5700000
300119;75.4400000
310119;76.0700000
10219;76.0250000
40219;75.9900000
50219;76.3000000
60219;76.3100000
70219;75.3300000
80219;75.8100000
110219;76.0600000
120219;77.0700000
130219;77.2600000
140219;76.9500000
150219;78.3000000
190219;77.4600000
200219;78.5600000
210219;77.8750000
220219;78.4000000
250219;79.3800000
260219;78.5600000
270219;79.4250000
280219;79.4100000
10319;81.2900000
40319;80.0400000
50319;79.7200000
60319;78.8000000
70319;78.6500000
80319;78.0399000
110319;79.3100000
120319;79.9400000
130319;80.1200000
140319;80.6200000
150319;81.2800000
180319;80.6200000
190319;81.6700000
200319;80.5900000
210319;82.0600000
220319;78.9750000
250319;79.5100000
260319;80.6400000
270319;78.9800000
280319;79.6800000
290319;80.4200000
10419;81.5800000
20419;81.1400000
30419;81.9300000
40419;80.8300000
50419;81.4900000
80419;81.6800000
90419;81.4100000
100419;81.6700000
110419;81.0700000
120419;80.9700000
150419;80.3800000
160419;77.5600000
170419;75.4500000
180419;76.1600000
220419;75.5600000
230419;75.5300000
240419;75.7600000
250419;76.7600000
260419;77.4400000
290419;77.3700000
300419;78.5550000
10519;77.5000000
20519;78.1700000
30519;79.3300000
60519;79.4100000
70519;76.6500000
80519;76.6100000
90519;76.9500000
100519;77.1100000
130519;73.8600000
140519;76.0400000
150519;67.5600000
160519;69.3500000
170519;69.1100000
200519;68.9500000
210519;68.3200000
220519;67.9800000
230519;67.6700000
240519;68.3600000
280519;67.1100000
290519;67.3000000
300519;66.9100000
310519;67.0800000
