<DATE>;<CLOSE>
10119;0.0143060
20119;0.0144690
30119;0.0145220
40119;0.0147170
50119;0.0147370
70119;0.0149680
80119;0.0149000
90119;0.0149360
100119;0.0149140
110119;0.0149090
120119;0.0149070
130119;0.0149140
140119;0.0148790
150119;0.0148830
160119;0.0150290
170119;0.0150310
180119;0.0150520
190119;0.0150670
200119;0.0150770
210119;0.0150200
220119;0.0149860
230119;0.0150950
240119;0.0151710
250119;0.0151140
260119;0.0151170
270119;0.0151170
280119;0.0150490
290119;0.0151010
300119;0.0152340
310119;0.0152570
10219;0.0152340
20219;0.0152310
30219;0.0152270
40219;0.0152030
50219;0.0151990
60219;0.0151390
70219;0.0151320
80219;0.0151660
90219;0.0151800
100219;0.0152330
110219;0.0151610
120219;0.0151440
130219;0.0149940
140219;0.0149620
150219;0.0150430
160219;0.0150340
170219;0.0150810
180219;0.0150620
190219;0.0151610
200219;0.0151680
210219;0.0152090
220219;0.0152590
230219;0.0152550
240219;0.0152600
250219;0.0152220
260219;0.0151740
270219;0.0151640
280219;0.0151280
10319;0.0151280
20319;0.0151260
30319;0.0151250
40319;0.0151550
50319;0.0151630
60319;0.0151180
70319;0.0150490
80319;0.0150350
90319;0.0150350
100319;0.0150100
110319;0.0151320
120319;0.0152160
130319;0.0152420
140319;0.0152350
150319;0.0153890
160319;0.0153900
170319;0.0153920
180319;0.0154990
190319;0.0154910
200319;0.0156290
210319;0.0156210
220319;0.0154280
230319;0.0154320
240319;0.0154480
250319;0.0155850
260319;0.0154880
270319;0.0153820
280319;0.0153460
290319;0.0151710
300319;0.0151860
310319;0.0151580
10419;0.0152980
20419;0.0152680
30419;0.0152890
40419;0.0152490
50419;0.0152670
60419;0.0152680
70419;0.0152210
80419;0.0153710
90419;0.0153540
100419;0.0155150
110419;0.0154390
120419;0.0155020
130419;0.0155080
140419;0.0154520
150419;0.0155110
160419;0.0155620
170419;0.0156320
180419;0.0156170
190419;0.0155790
200419;0.0155670
210419;0.0155850
220419;0.0156380
230419;0.0156550
240419;0.0154870
250419;0.0154260
260419;0.0153750
270419;0.0153870
280419;0.0153760
290419;0.0154730
300419;0.0154310
10519;0.0153810
20519;0.0152480
30519;0.0153240
40519;0.0153190
50519;0.0152920
60519;0.0152900
70519;0.0152560
80519;0.0153310
90519;0.0152890
100519;0.0153170
110519;0.0153180
120519;0.0153130
130519;0.0152470
140519;0.0153650
150519;0.0154270
160519;0.0154350
170519;0.0154030
180519;0.0153980
190519;0.0153950
200519;0.0154550
210519;0.0154830
220519;0.0154940
230519;0.0153770
240519;0.0154740
250519;0.0154660
260519;0.0154790
270519;0.0154930
280519;0.0154150
290519;0.0153570
300519;0.0153140
310519;0.0152390
10619;0.0152060
20619;0.0152140
