<DATE>;<CLOSE>
20119;47.0300000
30119;45.3500000
40119;47.1700000
70119;48.5000000
80119;49.9800000
90119;50.8300000
100119;51.3500000
110119;46.5350000
140119;47.2800000
150119;46.8000000
160119;47.1300000
170119;47.3700000
180119;48.6500000
220119;47.0400000
230119;46.0100000
240119;47.2800000
250119;47.8000000
280119;46.7500000
290119;45.7400000
300119;46.2900000
310119;47.2500000
10219;46.0000000
40219;46.7900000
50219;47.8200000
60219;43.0050000
70219;43.9900000
80219;43.3900000
110219;40.1100000
120219;41.6500000
130219;44.5700000
140219;45.4200000
150219;44.6200000
190219;44.4800000
200219;42.7900000
210219;41.8900000
220219;41.4950000
250219;41.9600000
260219;42.0700000
270219;41.8100000
280219;42.1500000
10319;42.8600000
40319;41.8000000
50319;41.8800000
60319;42.5700000
70319;41.4300000
80319;42.0300000
110319;42.9300000
120319;42.6400000
130319;43.6900000
140319;43.3100000
150319;44.6200000
180319;44.9500000
190319;46.4100000
200319;46.1500000
210319;48.6100000
220319;46.8800000
250319;46.9800000
260319;46.4300000
270319;45.5200000
280319;45.6000000
290319;45.5500000
10419;47.1200000
20419;47.4400000
30419;47.6500000
40419;46.9600000
50419;47.2800000
80419;47.5700000
90419;47.0200000
100419;47.8400000
110419;47.1700000
120419;47.2700000
150419;45.7500000
160419;45.0500000
170419;44.9800000
180419;45.3000000
220419;45.3200000
230419;46.5000000
240419;46.7700000
250419;47.4100000
260419;48.1450000
290419;48.3900000
300419;48.2200000
10519;48.5700000
20519;49.5300000
30519;47.1400000
60519;48.1500000
70519;46.6800000
80519;46.8500000
90519;46.6400000
100519;46.0200000
130519;43.4200000
140519;44.6800000
150519;46.2800000
160519;47.2900000
170519;46.4000000
200519;43.6200000
210519;43.4300000
220519;42.9200000
230519;42.1900000
240519;42.2700000
280519;43.5000000
290519;44.0100000
300519;43.5600000
310519;43.3800000
